email_id,rfq_id,vendor_id,direction,timestamp,from_email,to_email,subject,body_snippet,bid_amount_usd,delivery_days
EML-00023,RFQ-0002,V019,inbound,2024-09-01 13:51:00,daniel@emeraldislec.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Emerald Isle Castings Ltd,"Dear Procurement Team, please find our quotation for RFQ-0002. Unit price: USD 186.44. Total: USD 42,321.88. Lead time: 33 days. Valid 30 days. We look forward to your favourable consideration.",42321.88,33.0
EML-00024,RFQ-0002,V009,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,nathan@fischersöhne.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Nathan, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-09-17. Please confirm receipt.",,
EML-00025,RFQ-0002,V009,inbound,2024-09-01 11:15:00,nathan@fischersöhne.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Fischer & Söhne KG,"Dear Procurement Team, please find our quotation for RFQ-0002. Unit price: USD 173.86. Total: USD 39,466.22. Lead time: 25 days. Valid 30 days. We look forward to your favourable consideration.",39466.22,25.0
EML-00026,RFQ-0002,V001,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,allison@kovacsprecis.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Allison, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-09-19. Please confirm receipt.",,
EML-00027,RFQ-0002,V001,inbound,2024-09-03 14:36:00,allison@kovacsprecis.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Kovacs Precision GmbH,"Dear Procurement Team, please find our quotation for RFQ-0002. Unit price: USD 184.64. Total: USD 41,913.28. Lead time: 52 days. Valid 30 days. We look forward to your favourable consideration.",41913.28,52.0
EML-00028,RFQ-0002,V024,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,tim@baltictechua.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Tim, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-09-30. Please confirm receipt.",,
EML-00029,RFQ-0002,V024,inbound,2024-08-23 17:01:00,tim@baltictechua.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-09-03. We are pleased to support Meridian's requirements.,,
EML-00030,RFQ-0002,V024,inbound,2024-09-01 11:21:00,tim@baltictechua.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – BalticTech UAB,"Dear Procurement Team, please find our quotation for RFQ-0002. Unit price: USD 188.65. Total: USD 42,823.55. Lead time: 53 days. Valid 30 days. We look forward to your favourable consideration.",42823.55,53.0
EML-00031,RFQ-0002,V022,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,stephen@andeanprecis.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Stephen, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-09-27. Please confirm receipt.",,
EML-00032,RFQ-0002,V022,inbound,2024-08-23 13:27:00,stephen@andeanprecis.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-09-03. We are pleased to support Meridian's requirements.,,
EML-00033,RFQ-0002,V022,inbound,2024-09-02 12:03:00,stephen@andeanprecis.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Andean Precision SRL,"Dear Procurement Team, please find our quotation for RFQ-0002. Unit price: USD 168.21. Total: USD 38,183.67. Lead time: 28 days. Valid 30 days. We look forward to your favourable consideration.",38183.67,28.0
EML-00034,RFQ-0002,V007,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,jessica@nakamuratool.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Jessica, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-09-29. Please confirm receipt.",,
EML-00035,RFQ-0002,V007,inbound,2024-09-03 15:27:00,jessica@nakamuratool.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Nakamura Tooling Co.,"Dear Procurement Team, please find our quotation for RFQ-0002. Unit price: USD 190.81. Total: USD 43,313.87. Lead time: 43 days. Valid 30 days. We look forward to your favourable consideration.",43313.87,43.0
EML-00036,RFQ-0002,V004,outbound,2024-08-21 09:15:00,procurement@meridian-industrial.com,sandra@strömberghyd.com,Request for Quotation – RFQ-0002 – Mechanical Parts,"Dear Sandra, please find attached our RFQ RFQ-0002 for Mechanical Parts components. Bid deadline: 2024-09-03. Target delivery: 2024-09-19. Please confirm receipt.",,
EML-00037,RFQ-0002,V004,inbound,2024-08-23 16:51:00,sandra@strömberghyd.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0002,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-09-03. We are pleased to support Meridian's requirements.,,
EML-00038,RFQ-0002,V004,inbound,2024-09-01 16:11:00,sandra@strömberghyd.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0002 – Strömberg Hydraulics AB,"Dear Procurement Team, please find our quotation for RFQ-0002. Unit price: USD 182.61. Total: USD 41,452.47. Lead time: 39 days. Valid 30 days. We look forward to your favourable consideration.",41452.47,39.0
EML-00039,RFQ-0003,V016,outbound,2025-01-07 09:15:00,procurement@meridian-industrial.com,james@precisionarc.com,Request for Quotation – RFQ-0003 – Electrical Components,"Dear James, please find attached our RFQ RFQ-0003 for Electrical Components components. Bid deadline: 2025-01-20. Target delivery: 2025-02-07. Please confirm receipt.",,
EML-00040,RFQ-0003,V016,inbound,2025-01-09 14:26:00,james@precisionarc.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-01-20. We are pleased to support Meridian's requirements.,,
EML-00041,RFQ-0003,V016,inbound,2025-01-18 10:16:00,james@precisionarc.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Precision Arc Systems,"Dear Procurement Team, please find our quotation for RFQ-0003. Unit price: USD 22.79. Total: USD 4,421.26. Lead time: 28 days. Valid 30 days. We look forward to your favourable consideration.",4421.26,28.0
EML-00042,RFQ-0003,V013,outbound,2025-01-07 09:15:00,procurement@meridian-industrial.com,john@vantagesenso.com,Request for Quotation – RFQ-0003 – Electrical Components,"Dear John, please find attached our RFQ RFQ-0003 for Electrical Components components. Bid deadline: 2025-01-20. Target delivery: 2025-02-10. Please confirm receipt.",,
EML-00043,RFQ-0003,V006,outbound,2025-01-07 09:15:00,procurement@meridian-industrial.com,andrew@brightsparke.com,Request for Quotation – RFQ-0003 – Electrical Components,"Dear Andrew, please find attached our RFQ RFQ-0003 for Electrical Components components. Bid deadline: 2025-01-20. Target delivery: 2025-02-06. Please confirm receipt.",,
EML-00044,RFQ-0003,V006,inbound,2025-01-08 11:51:00,andrew@brightsparke.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-01-20. We are pleased to support Meridian's requirements.,,
EML-00045,RFQ-0003,V006,inbound,2025-01-18 12:08:00,andrew@brightsparke.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Bright Spark Electronics Ltd,"Dear Procurement Team, please find our quotation for RFQ-0003. Unit price: USD 21.34. Total: USD 4,139.96. Lead time: 20 days. Valid 30 days. We look forward to your favourable consideration.",4139.96,20.0
EML-00046,RFQ-0003,V018,outbound,2025-01-07 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumec.com,Request for Quotation – RFQ-0003 – Electrical Components,"Dear Jennifer, please find attached our RFQ RFQ-0003 for Electrical Components components. Bid deadline: 2025-01-20. Target delivery: 2025-02-11. Please confirm receipt.",,
EML-00047,RFQ-0003,V018,inbound,2025-01-08 08:46:00,jennifer@guangzhoumec.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-01-20. We are pleased to support Meridian's requirements.,,
EML-00048,RFQ-0003,V018,inbound,2025-01-17 14:57:00,jennifer@guangzhoumec.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Guangzhou Mech & Elec Co.,"Dear Procurement Team, please find our quotation for RFQ-0003. Unit price: USD 20.60. Total: USD 3,996.40. Lead time: 14 days. Valid 30 days. We look forward to your favourable consideration.",3996.4,14.0
EML-00049,RFQ-0003,V021,outbound,2025-01-07 09:15:00,procurement@meridian-industrial.com,terry@heliosmicros.com,Request for Quotation – RFQ-0003 – Electrical Components,"Dear Terry, please find attached our RFQ RFQ-0003 for Electrical Components components. Bid deadline: 2025-01-20. Target delivery: 2025-02-05. Please confirm receipt.",,
EML-00050,RFQ-0003,V021,inbound,2025-01-08 11:07:00,terry@heliosmicros.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-01-20. We are pleased to support Meridian's requirements.,,
EML-00051,RFQ-0003,V021,inbound,2025-01-20 11:38:00,terry@heliosmicros.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Helios Micro Systems,"Dear Procurement Team, please find our quotation for RFQ-0003. Unit price: USD 23.17. Total: USD 4,494.98. Lead time: 15 days. Valid 30 days. We look forward to your favourable consideration.",4494.98,15.0
EML-00052,RFQ-0003,V011,outbound,2025-01-07 09:15:00,procurement@meridian-industrial.com,lisa@solarispower.com,Request for Quotation – RFQ-0003 – Electrical Components,"Dear Lisa, please find attached our RFQ RFQ-0003 for Electrical Components components. Bid deadline: 2025-01-20. Target delivery: 2025-02-13. Please confirm receipt.",,
EML-00053,RFQ-0003,V011,inbound,2025-01-09 11:59:00,lisa@solarispower.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-01-20. We are pleased to support Meridian's requirements.,,
EML-00054,RFQ-0003,V011,inbound,2025-01-17 08:31:00,lisa@solarispower.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Solaris Power Components,"Dear Procurement Team, please find our quotation for RFQ-0003. Unit price: USD 19.72. Total: USD 3,825.68. Lead time: 47 days. Valid 30 days. We look forward to your favourable consideration.",3825.68,47.0
EML-00055,RFQ-0003,V002,outbound,2025-01-07 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectr.com,Request for Quotation – RFQ-0003 – Electrical Components,"Dear Lance, please find attached our RFQ RFQ-0003 for Electrical Components components. Bid deadline: 2025-01-20. Target delivery: 2025-02-06. Please confirm receipt.",,
EML-00056,RFQ-0003,V002,inbound,2025-01-09 15:43:00,lance@tanakaelectr.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0003,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2025-01-20. We are pleased to support Meridian's requirements.,,
EML-00057,RFQ-0003,V002,inbound,2025-01-19 08:41:00,lance@tanakaelectr.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0003 – Tanaka Electrical KK,"Dear Procurement Team, please find our quotation for RFQ-0003. Unit price: USD 23.26. Total: USD 4,512.44. Lead time: 29 days. Valid 30 days. We look forward to your favourable consideration.",4512.44,29.0
EML-00058,RFQ-0004,V018,outbound,2024-05-05 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumec.com,Request for Quotation – RFQ-0004 – Electrical Components,"Dear Jennifer, please find attached our RFQ RFQ-0004 for Electrical Components components. Bid deadline: 2024-05-14. Target delivery: 2024-05-31. Please confirm receipt.",,
EML-00059,RFQ-0004,V018,inbound,2024-05-06 15:24:00,jennifer@guangzhoumec.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0004,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-05-14. We are pleased to support Meridian's requirements.,,
EML-00060,RFQ-0004,V018,inbound,2024-05-14 12:13:00,jennifer@guangzhoumec.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0004 – Guangzhou Mech & Elec Co.,"Dear Procurement Team, please find our quotation for RFQ-0004. Unit price: USD 375.68. Total: USD 175,442.56. Lead time: 25 days. Valid 30 days. We look forward to your favourable consideration.",175442.56,25.0
EML-00061,RFQ-0004,V021,outbound,2024-05-05 09:15:00,procurement@meridian-industrial.com,terry@heliosmicros.com,Request for Quotation – RFQ-0004 – Electrical Components,"Dear Terry, please find attached our RFQ RFQ-0004 for Electrical Components components. Bid deadline: 2024-05-14. Target delivery: 2024-06-02. Please confirm receipt.",,
EML-00062,RFQ-0004,V006,outbound,2024-05-05 09:15:00,procurement@meridian-industrial.com,andrew@brightsparke.com,Request for Quotation – RFQ-0004 – Electrical Components,"Dear Andrew, please find attached our RFQ RFQ-0004 for Electrical Components components. Bid deadline: 2024-05-14. Target delivery: 2024-06-07. Please confirm receipt.",,
EML-00063,RFQ-0004,V011,outbound,2024-05-05 09:15:00,procurement@meridian-industrial.com,lisa@solarispower.com,Request for Quotation – RFQ-0004 – Electrical Components,"Dear Lisa, please find attached our RFQ RFQ-0004 for Electrical Components components. Bid deadline: 2024-05-14. Target delivery: 2024-06-10. Please confirm receipt.",,
EML-00064,RFQ-0004,V013,outbound,2024-05-05 09:15:00,procurement@meridian-industrial.com,john@vantagesenso.com,Request for Quotation – RFQ-0004 – Electrical Components,"Dear John, please find attached our RFQ RFQ-0004 for Electrical Components components. Bid deadline: 2024-05-14. Target delivery: 2024-06-05. Please confirm receipt.",,
EML-00065,RFQ-0004,V016,outbound,2024-05-05 09:15:00,procurement@meridian-industrial.com,james@precisionarc.com,Request for Quotation – RFQ-0004 – Electrical Components,"Dear James, please find attached our RFQ RFQ-0004 for Electrical Components components. Bid deadline: 2024-05-14. Target delivery: 2024-06-12. Please confirm receipt.",,
EML-00066,RFQ-0004,V002,outbound,2024-05-05 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectr.com,Request for Quotation – RFQ-0004 – Electrical Components,"Dear Lance, please find attached our RFQ RFQ-0004 for Electrical Components components. Bid deadline: 2024-05-14. Target delivery: 2024-06-10. Please confirm receipt.",,
EML-00067,RFQ-0004,V002,inbound,2024-05-12 09:22:00,lance@tanakaelectr.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0004 – Tanaka Electrical KK,"Dear Procurement Team, please find our quotation for RFQ-0004. Unit price: USD 418.86. Total: USD 195,607.62. Lead time: 42 days. Valid 30 days. We look forward to your favourable consideration.",195607.62,42.0
EML-00068,RFQ-0005,V013,outbound,2024-01-31 09:15:00,procurement@meridian-industrial.com,john@vantagesenso.com,Request for Quotation – RFQ-0005 – Electrical Components,"Dear John, please find attached our RFQ RFQ-0005 for Electrical Components components. Bid deadline: 2024-02-16. Target delivery: 2024-03-13. Please confirm receipt.",,
EML-00069,RFQ-0005,V013,inbound,2024-02-02 13:36:00,john@vantagesenso.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-02-16. We are pleased to support Meridian's requirements.,,
EML-00070,RFQ-0005,V013,inbound,2024-02-16 17:43:00,john@vantagesenso.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Vantage Sensors GmbH,"Dear Procurement Team, please find our quotation for RFQ-0005. Unit price: USD 685.61. Total: USD 79,530.76. Lead time: 18 days. Valid 30 days. We look forward to your favourable consideration.",79530.76,18.0
EML-00071,RFQ-0005,V018,outbound,2024-01-31 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumec.com,Request for Quotation – RFQ-0005 – Electrical Components,"Dear Jennifer, please find attached our RFQ RFQ-0005 for Electrical Components components. Bid deadline: 2024-02-16. Target delivery: 2024-03-11. Please confirm receipt.",,
EML-00072,RFQ-0005,V018,inbound,2024-02-01 12:11:00,jennifer@guangzhoumec.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-02-16. We are pleased to support Meridian's requirements.,,
EML-00073,RFQ-0005,V018,inbound,2024-02-14 11:01:00,jennifer@guangzhoumec.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Guangzhou Mech & Elec Co.,"Dear Procurement Team, please find our quotation for RFQ-0005. Unit price: USD 638.98. Total: USD 74,121.68. Lead time: 46 days. Valid 30 days. We look forward to your favourable consideration.",74121.68,46.0
EML-00074,RFQ-0005,V002,outbound,2024-01-31 09:15:00,procurement@meridian-industrial.com,lance@tanakaelectr.com,Request for Quotation – RFQ-0005 – Electrical Components,"Dear Lance, please find attached our RFQ RFQ-0005 for Electrical Components components. Bid deadline: 2024-02-16. Target delivery: 2024-03-08. Please confirm receipt.",,
EML-00075,RFQ-0005,V016,outbound,2024-01-31 09:15:00,procurement@meridian-industrial.com,james@precisionarc.com,Request for Quotation – RFQ-0005 – Electrical Components,"Dear James, please find attached our RFQ RFQ-0005 for Electrical Components components. Bid deadline: 2024-02-16. Target delivery: 2024-03-15. Please confirm receipt.",,
EML-00076,RFQ-0005,V011,outbound,2024-01-31 09:15:00,procurement@meridian-industrial.com,lisa@solarispower.com,Request for Quotation – RFQ-0005 – Electrical Components,"Dear Lisa, please find attached our RFQ RFQ-0005 for Electrical Components components. Bid deadline: 2024-02-16. Target delivery: 2024-03-06. Please confirm receipt.",,
EML-00077,RFQ-0005,V011,inbound,2024-02-02 17:16:00,lisa@solarispower.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-02-16. We are pleased to support Meridian's requirements.,,
EML-00078,RFQ-0005,V011,inbound,2024-02-15 15:52:00,lisa@solarispower.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Solaris Power Components,"Dear Procurement Team, please find our quotation for RFQ-0005. Unit price: USD 776.54. Total: USD 90,078.64. Lead time: 37 days. Valid 30 days. We look forward to your favourable consideration.",90078.64,37.0
EML-00079,RFQ-0005,V021,outbound,2024-01-31 09:15:00,procurement@meridian-industrial.com,terry@heliosmicros.com,Request for Quotation – RFQ-0005 – Electrical Components,"Dear Terry, please find attached our RFQ RFQ-0005 for Electrical Components components. Bid deadline: 2024-02-16. Target delivery: 2024-03-04. Please confirm receipt.",,
EML-00080,RFQ-0005,V021,inbound,2024-02-01 11:55:00,terry@heliosmicros.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-02-16. We are pleased to support Meridian's requirements.,,
EML-00081,RFQ-0005,V021,inbound,2024-02-14 11:26:00,terry@heliosmicros.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Helios Micro Systems,"Dear Procurement Team, please find our quotation for RFQ-0005. Unit price: USD 699.03. Total: USD 81,087.48. Lead time: 28 days. Valid 30 days. We look forward to your favourable consideration.",81087.48,28.0
EML-00082,RFQ-0005,V006,outbound,2024-01-31 09:15:00,procurement@meridian-industrial.com,andrew@brightsparke.com,Request for Quotation – RFQ-0005 – Electrical Components,"Dear Andrew, please find attached our RFQ RFQ-0005 for Electrical Components components. Bid deadline: 2024-02-16. Target delivery: 2024-03-05. Please confirm receipt.",,
EML-00083,RFQ-0005,V006,inbound,2024-02-02 11:39:00,andrew@brightsparke.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0005,Thank you for your RFQ. We confirm receipt and will submit our competitive quotation before 2024-02-16. We are pleased to support Meridian's requirements.,,
EML-00084,RFQ-0005,V006,inbound,2024-02-13 13:44:00,andrew@brightsparke.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0005 – Bright Spark Electronics Ltd,"Dear Procurement Team, please find our quotation for RFQ-0005. Unit price: USD 717.04. Total: USD 83,176.64. Lead time: 18 days. Valid 30 days. We look forward to your favourable consideration.",83176.64,18.0
EML-00085,RFQ-0006,V018,outbound,2024-03-06 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumec.com,Request for Quotation – RFQ-0006 – Electrical Components,"Dear Jennifer, please find attached our RFQ RFQ-0006 for Electrical Components components. Bid deadline: 2024-03-20. Target delivery: 2024-04-18. Please confirm receipt.",,
