so_line_id,sales_order_id,line_no,material_code,description,category,quantity,unit,unit_price_usd,line_value_usd
SO-2024-0019-L02,SO-2024-0019,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,22,pcs,20.81,457.82
SO-2024-0019-L03,SO-2024-0019,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,64,MT,714.56,45731.84
SO-2024-0019-L04,SO-2024-0019,4,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,108,pcs,349.01,37693.08
SO-2024-0020-L01,SO-2024-0020,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,106,pcs,391.8,41530.8
SO-2024-0020-L02,SO-2024-0020,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,91,kg,3.58,325.78
SO-2024-0020-L03,SO-2024-0020,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,27,pcs,1833.29,49498.83
SO-2024-0021-L01,SO-2024-0021,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,22,pcs,1793.24,39451.28
SO-2024-0021-L02,SO-2024-0021,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,36,pcs,145.24,5228.64
SO-2024-0021-L03,SO-2024-0021,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,54,pcs,94.36,5095.44
SO-2024-0021-L04,SO-2024-0021,4,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,101,MT,714.03,72117.03
SO-2024-0021-L05,SO-2024-0021,5,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,47,kg,4.13,194.11
SO-2024-0021-L06,SO-2024-0021,6,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,97,pcs,36.02,3493.94
SO-2024-0022-L01,SO-2024-0022,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,64,MT,717.61,45927.04
SO-2024-0022-L02,SO-2024-0022,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,56,pcs,169.01,9464.56
SO-2024-0023-L01,SO-2024-0023,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,22,pcs,1793.45,39455.9
SO-2024-0023-L02,SO-2024-0023,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,63,pcs,121.17,7633.71
SO-2024-0023-L03,SO-2024-0023,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,82,pcs,228.68,18751.76
SO-2024-0023-L04,SO-2024-0023,4,RAW-4403,Copper Busbar 40×4mm,Raw Materials,94,m,22.39,2104.66
SO-2024-0024-L01,SO-2024-0024,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,116,MT,760.86,88259.76
SO-2024-0024-L02,SO-2024-0024,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,72,m,21.57,1553.04
SO-2024-0024-L03,SO-2024-0024,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,95,pcs,107.66,10227.7
SO-2024-0025-L01,SO-2024-0025,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,114,pcs,236.02,26906.28
SO-2024-0025-L02,SO-2024-0025,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,19,pcs,118.81,2257.39
SO-2024-0025-L03,SO-2024-0025,3,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,96,pcs,386.65,37118.4
SO-2024-0025-L04,SO-2024-0025,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,16,pcs,40.58,649.28
SO-2024-0025-L05,SO-2024-0025,5,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,62,kg,3.63,225.06
SO-2024-0025-L06,SO-2024-0025,6,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,63,pcs,1689.58,106443.54
SO-2024-0026-L01,SO-2024-0026,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,55,MT,712.9,39209.5
SO-2024-0026-L02,SO-2024-0026,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,5,m,23.97,119.85
SO-2024-0026-L03,SO-2024-0026,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,79,kg,3.32,262.28
SO-2024-0026-L04,SO-2024-0026,4,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,59,kg,3.21,189.39
SO-2024-0026-L05,SO-2024-0026,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,13,pcs,401.65,5221.45
SO-2024-0027-L01,SO-2024-0027,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,28,kg,4.43,124.04
SO-2024-0027-L02,SO-2024-0027,2,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,103,pcs,105.32,10847.96
SO-2024-0028-L01,SO-2024-0028,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,92,pcs,21.71,1997.32
SO-2024-0028-L02,SO-2024-0028,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,116,kg,4.39,509.24
SO-2024-0028-L03,SO-2024-0028,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,88,pcs,111.23,9788.24
SO-2024-0028-L04,SO-2024-0028,4,RAW-4403,Copper Busbar 40×4mm,Raw Materials,20,m,19.43,388.6
SO-2024-0028-L05,SO-2024-0028,5,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,73,pcs,158.76,11589.48
SO-2024-0029-L01,SO-2024-0029,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,91,kg,4.35,395.85
SO-2024-0029-L02,SO-2024-0029,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,59,pcs,18.26,1077.34
SO-2024-0030-L01,SO-2024-0030,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,9,pcs,250.47,2254.23
SO-2024-0030-L02,SO-2024-0030,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,58,kg,3.45,200.1
SO-2024-0030-L03,SO-2024-0030,3,RAW-4403,Copper Busbar 40×4mm,Raw Materials,118,m,25.11,2962.98
SO-2024-0030-L04,SO-2024-0030,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,35,pcs,152.21,5327.35
SO-2024-0031-L01,SO-2024-0031,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,61,kg,3.11,189.71
SO-2024-0031-L02,SO-2024-0031,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,32,pcs,410.18,13125.76
SO-2024-0031-L03,SO-2024-0031,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,104,pcs,89.52,9310.08
SO-2024-0032-L01,SO-2024-0032,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,117,pcs,100.01,11701.17
SO-2024-0032-L02,SO-2024-0032,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,89,m,22.17,1973.13
SO-2024-0032-L03,SO-2024-0032,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,57,MT,717.05,40871.85
SO-2024-0032-L04,SO-2024-0032,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,12,pcs,1817.02,21804.24
SO-2024-0032-L05,SO-2024-0032,5,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,80,pcs,253.99,20319.2
SO-2024-0032-L06,SO-2024-0032,6,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,27,kg,4.2,113.4
SO-2024-0033-L01,SO-2024-0033,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,57,m,19.19,1093.83
SO-2024-0033-L02,SO-2024-0033,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,53,pcs,354.71,18799.63
SO-2024-0033-L03,SO-2024-0033,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,73,pcs,1792.06,130820.38
SO-2024-0033-L04,SO-2024-0033,4,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,113,kg,3.1,350.3
SO-2024-0033-L05,SO-2024-0033,5,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,114,pcs,107.1,12209.4
SO-2024-0034-L01,SO-2024-0034,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,37,pcs,356.27,13181.99
SO-2024-0034-L02,SO-2024-0034,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,87,m,12.47,1084.89
SO-2024-0034-L03,SO-2024-0034,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,62,pcs,39.86,2471.32
SO-2024-0034-L04,SO-2024-0034,4,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,16,pcs,102.46,1639.36
SO-2024-0034-L05,SO-2024-0034,5,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,111,pcs,219.52,24366.72
SO-2024-0035-L01,SO-2024-0035,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,102,pcs,239.38,24416.76
SO-2024-0035-L02,SO-2024-0035,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,90,m,22.47,2022.3
SO-2024-0036-L01,SO-2024-0036,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,99,m,12.7,1257.3
SO-2024-0036-L02,SO-2024-0036,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,101,pcs,399.16,40315.16
SO-2024-0036-L03,SO-2024-0036,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,36,pcs,244.78,8812.08
SO-2024-0036-L04,SO-2024-0036,4,RAW-4403,Copper Busbar 40×4mm,Raw Materials,95,m,19.64,1865.8
SO-2024-0037-L01,SO-2024-0037,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,38,pcs,16.88,641.44
SO-2024-0037-L02,SO-2024-0037,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,117,pcs,379.78,44434.26
SO-2024-0037-L03,SO-2024-0037,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,17,MT,762.25,12958.25
SO-2024-0037-L04,SO-2024-0037,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,97,pcs,1790.85,173712.45
SO-2024-0037-L05,SO-2024-0037,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,112,kg,3.71,415.52
SO-2024-0038-L01,SO-2024-0038,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,75,kg,4.83,362.25
SO-2024-0038-L02,SO-2024-0038,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,79,pcs,246.0,19434.0
SO-2024-0038-L03,SO-2024-0038,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,42,kg,3.04,127.68
SO-2024-0038-L04,SO-2024-0038,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,47,pcs,31.22,1467.34
SO-2024-0038-L05,SO-2024-0038,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,77,pcs,413.33,31826.41
SO-2024-0038-L06,SO-2024-0038,6,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,68,kg,4.08,277.44
SO-2024-0039-L01,SO-2024-0039,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,22,pcs,19.76,434.72
SO-2024-0039-L02,SO-2024-0039,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,67,pcs,30.58,2048.86
SO-2024-0039-L03,SO-2024-0039,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,118,kg,3.39,400.02
SO-2024-0039-L04,SO-2024-0039,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,87,pcs,1937.17,168533.79
SO-2024-0039-L05,SO-2024-0039,5,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,72,kg,3.84,276.48
SO-2024-0040-L01,SO-2024-0040,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,112,pcs,105.03,11763.36
SO-2024-0040-L02,SO-2024-0040,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,13,pcs,37.9,492.7
SO-2024-0041-L01,SO-2024-0041,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,90,pcs,127.69,11492.1
SO-2024-0041-L02,SO-2024-0041,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,66,MT,749.34,49456.44
SO-2024-0042-L01,SO-2024-0042,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,97,pcs,390.99,37926.03
SO-2024-0042-L02,SO-2024-0042,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,41,pcs,341.37,13996.17
SO-2024-0043-L01,SO-2024-0043,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,72,m,12.89,928.08
SO-2024-0043-L02,SO-2024-0043,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,29,pcs,166.69,4834.01
SO-2024-0044-L01,SO-2024-0044,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,63,pcs,1819.5,114628.5
SO-2024-0044-L02,SO-2024-0044,2,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,94,pcs,94.1,8845.4
SO-2024-0045-L01,SO-2024-0045,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,53,pcs,102.92,5454.76
SO-2024-0045-L02,SO-2024-0045,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,12,m,15.82,189.84
SO-2024-0046-L01,SO-2024-0046,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,10,pcs,103.04,1030.4
SO-2024-0046-L02,SO-2024-0046,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,120,kg,4.75,570.0
SO-2024-0046-L03,SO-2024-0046,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,118,pcs,164.84,19451.12
SO-2024-0046-L04,SO-2024-0046,4,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,39,pcs,343.72,13405.08
SO-2024-0047-L01,SO-2024-0047,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,80,MT,702.98,56238.4
SO-2024-0047-L02,SO-2024-0047,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,110,pcs,408.51,44936.1
SO-2024-0047-L03,SO-2024-0047,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,55,pcs,41.0,2255.0
SO-2024-0047-L04,SO-2024-0047,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,43,pcs,1698.74,73045.82
SO-2024-0047-L05,SO-2024-0047,5,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,35,kg,4.42,154.7
SO-2024-0047-L06,SO-2024-0047,6,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,113,pcs,229.46,25928.98
SO-2024-0048-L01,SO-2024-0048,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,49,pcs,344.3,16870.7
SO-2024-0048-L02,SO-2024-0048,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,60,kg,3.11,186.6
SO-2024-0049-L01,SO-2024-0049,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,67,pcs,389.13,26071.71
SO-2024-0049-L02,SO-2024-0049,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,75,MT,774.7,58102.5
SO-2024-0049-L03,SO-2024-0049,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,60,kg,3.5,210.0
SO-2024-0049-L04,SO-2024-0049,4,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,79,pcs,19.29,1523.91
SO-2024-0050-L01,SO-2024-0050,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,24,pcs,158.3,3799.2
SO-2024-0050-L02,SO-2024-0050,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,105,kg,4.21,442.05
SO-2024-0051-L01,SO-2024-0051,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,61,pcs,394.4,24058.4
SO-2024-0051-L02,SO-2024-0051,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,39,kg,3.36,131.04
SO-2024-0052-L01,SO-2024-0052,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,75,pcs,347.45,26058.75
SO-2024-0052-L02,SO-2024-0052,2,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,81,pcs,109.18,8843.58
SO-2024-0052-L03,SO-2024-0052,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,115,pcs,158.48,18225.2
SO-2024-0052-L04,SO-2024-0052,4,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,42,pcs,396.55,16655.1
SO-2024-0052-L05,SO-2024-0052,5,RAW-4403,Copper Busbar 40×4mm,Raw Materials,104,m,18.68,1942.72
SO-2024-0052-L06,SO-2024-0052,6,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,120,pcs,1817.86,218143.2
SO-2024-0053-L01,SO-2024-0053,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,39,pcs,34.9,1361.1
SO-2024-0053-L02,SO-2024-0053,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,13,kg,3.47,45.11
SO-2024-0053-L03,SO-2024-0053,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,40,kg,4.26,170.4
