snapshot_id,vendor_id,vendor_name,month,month_index,relationship_arc,price_index,on_time_delivery_rate,response_rate,quality_score,n_rfqs_invited,n_rfqs_responded,n_bids_submitted,n_pos_won,win_rate_6mo,capacity_utilization,defect_rate_ppm,payment_pct_on_time,payment_avg_days_late
VP-V017-202401,V017,Türk Makina A.Ş.,2024-01-01,0,stable,0.876,0.847,0.853,7.45,1,1,1,0,0.0,84.2,416.0,,
VP-V018-202401,V018,Guangzhou Mech & Elec Co.,2024-01-01,0,collapse,0.782,0.625,0.87,6.56,8,8,8,8,1.0,85.6,320.0,0.75,1.5
VP-V019-202401,V019,Emerald Isle Castings Ltd,2024-01-01,0,stable,1.021,1.0,0.869,8.65,1,1,1,1,1.0,65.2,453.0,1.0,0.0
VP-V020-202401,V020,Rajasthan Rare Earths Ltd,2024-01-01,0,improving,0.955,0.801,0.706,7.45,1,1,1,0,0.0,71.0,328.0,,
VP-V001-202402,V001,Kovacs Precision GmbH,2024-02-01,1,declining,0.897,1.0,0.9,8.76,2,2,2,2,1.0,75.9,333.0,0.5,3.0
VP-V002-202402,V002,Tanaka Electrical KK,2024-02-01,1,stable,1.031,1.0,0.819,9.1,6,5,5,5,0.857,72.3,112.0,0.6,0.6
VP-V003-202402,V003,Patel Alloys Pvt Ltd,2024-02-01,1,improving,0.958,1.0,0.806,7.77,2,1,1,1,0.667,68.0,394.0,1.0,0.0
VP-V004-202402,V004,Strömberg Hydraulics AB,2024-02-01,1,stable,1.047,1.0,0.892,9.02,2,2,2,2,1.0,72.1,20.0,1.0,0.0
VP-V005-202402,V005,Cerro Negro Metals SA,2024-02-01,1,stable,0.83,1.0,0.854,7.36,2,2,2,1,0.667,76.8,354.0,1.0,0.0
VP-V006-202402,V006,Bright Spark Electronics Ltd,2024-02-01,1,stable,0.967,0.5,0.699,7.17,6,4,4,4,0.786,79.4,262.0,1.0,0.0
VP-V007-202402,V007,Nakamura Tooling Co.,2024-02-01,1,stable,1.045,1.0,0.817,9.31,2,2,2,2,1.0,81.1,210.0,0.5,11.5
VP-V008-202402,V008,Delta Composites Inc.,2024-02-01,1,stable,0.898,0.5,0.739,7.47,2,2,2,2,1.0,86.6,377.0,1.0,0.0
VP-V009-202402,V009,Fischer & Söhne KG,2024-02-01,1,stable,1.012,0.921,0.845,8.89,2,0,0,0,0.333,66.8,351.0,,
VP-V010-202402,V010,Adriatic Fastenings d.o.o.,2024-02-01,1,stable,0.872,1.0,0.813,7.52,2,1,1,1,0.333,81.6,233.0,0.0,1.0
VP-V011-202402,V011,Solaris Power Components,2024-02-01,1,stable,0.986,0.75,0.662,6.34,6,4,4,4,0.643,87.7,476.0,0.5,2.8
VP-V012-202402,V012,Indra Copper Works,2024-02-01,1,improving,0.927,0.5,0.735,8.17,2,2,2,2,1.0,65.8,142.0,0.5,2.5
VP-V013-202402,V013,Vantage Sensors GmbH,2024-02-01,1,stable,0.996,0.8,0.868,8.76,6,5,5,5,0.714,72.5,276.0,0.6,2.4
VP-V014-202402,V014,Coastal Alloys Pty Ltd,2024-02-01,1,stable,0.95,1.0,0.774,7.76,2,1,1,1,0.333,75.7,196.0,1.0,0.0
VP-V015-202402,V015,Nordic Steel AS,2024-02-01,1,stable,1.007,1.0,0.895,8.92,2,1,1,1,0.667,72.8,97.0,1.0,0.0
VP-V016-202402,V016,Precision Arc Systems,2024-02-01,1,stable,0.913,0.667,0.596,6.63,6,4,4,3,0.571,85.9,646.0,0.667,6.7
VP-V017-202402,V017,Türk Makina A.Ş.,2024-02-01,1,stable,0.883,0.818,0.788,7.47,2,1,1,0,0.0,82.5,411.0,,
VP-V018-202402,V018,Guangzhou Mech & Elec Co.,2024-02-01,1,collapse,0.795,0.4,0.785,6.38,6,5,5,5,0.929,100.0,403.0,0.4,1.4
VP-V019-202402,V019,Emerald Isle Castings Ltd,2024-02-01,1,stable,1.016,1.0,0.843,8.72,2,2,2,2,1.0,67.5,405.0,1.0,0.0
VP-V020-202402,V020,Rajasthan Rare Earths Ltd,2024-02-01,1,improving,0.939,1.0,0.755,7.37,2,2,2,2,0.667,68.1,500.0,1.0,0.0
VP-V001-202403,V001,Kovacs Precision GmbH,2024-03-01,2,declining,0.924,1.0,0.862,9.12,6,4,4,4,0.778,67.1,254.0,1.0,0.0
VP-V002-202403,V002,Tanaka Electrical KK,2024-03-01,2,stable,1.034,1.0,0.806,8.93,3,3,3,3,0.882,75.6,262.0,0.0,5.0
VP-V003-202403,V003,Patel Alloys Pvt Ltd,2024-03-01,2,improving,0.947,0.789,0.816,7.67,1,0,0,0,0.5,61.7,358.0,,
VP-V004-202403,V004,Strömberg Hydraulics AB,2024-03-01,2,stable,1.053,1.0,0.918,9.56,6,6,6,5,0.889,69.8,179.0,0.2,10.2
VP-V005-202403,V005,Cerro Negro Metals SA,2024-03-01,2,stable,0.832,1.0,0.837,7.45,1,1,1,1,0.75,82.2,395.0,1.0,0.0
VP-V006-202403,V006,Bright Spark Electronics Ltd,2024-03-01,2,stable,0.977,0.5,0.776,7.45,3,2,2,2,0.765,82.5,463.0,1.0,0.0
VP-V007-202403,V007,Nakamura Tooling Co.,2024-03-01,2,stable,1.036,1.0,0.872,9.44,5,4,4,3,0.75,79.0,243.0,1.0,0.0
VP-V008-202403,V008,Delta Composites Inc.,2024-03-01,2,stable,0.872,1.0,0.799,7.32,1,1,1,1,1.0,91.1,330.0,1.0,0.0
VP-V009-202403,V009,Fischer & Söhne KG,2024-03-01,2,stable,1.029,0.833,0.851,9.07,6,6,6,6,0.778,73.3,0.0,0.5,2.7
VP-V010-202403,V010,Adriatic Fastenings d.o.o.,2024-03-01,2,stable,0.855,1.0,0.795,7.22,6,5,5,3,0.444,84.3,396.0,0.667,0.3
VP-V011-202403,V011,Solaris Power Components,2024-03-01,2,stable,0.995,1.0,0.651,7.12,3,2,2,2,0.647,83.1,412.0,1.0,0.0
VP-V012-202403,V012,Indra Copper Works,2024-03-01,2,improving,0.911,0.861,0.842,8.29,1,0,0,0,0.75,72.2,321.0,,
VP-V013-202403,V013,Vantage Sensors GmbH,2024-03-01,2,stable,1.018,1.0,0.811,9.07,3,3,3,3,0.765,75.4,283.0,1.0,0.0
VP-V014-202403,V014,Coastal Alloys Pty Ltd,2024-03-01,2,stable,0.952,0.877,0.797,8.16,1,0,0,0,0.25,68.1,456.0,,
VP-V015-202403,V015,Nordic Steel AS,2024-03-01,2,stable,0.989,1.0,0.867,9.25,1,1,1,1,0.75,73.7,358.0,1.0,0.0
VP-V016-202403,V016,Precision Arc Systems,2024-03-01,2,stable,0.925,1.0,0.663,6.9,3,2,2,2,0.588,81.9,398.0,1.0,0.0
VP-V017-202403,V017,Türk Makina A.Ş.,2024-03-01,2,stable,0.847,0.8,0.776,7.33,6,6,6,5,0.556,79.3,520.0,0.8,4.2
VP-V018-202403,V018,Guangzhou Mech & Elec Co.,2024-03-01,2,collapse,0.803,0.667,0.836,6.5,3,3,3,3,0.941,87.0,467.0,1.0,0.0
VP-V019-202403,V019,Emerald Isle Castings Ltd,2024-03-01,2,stable,1.012,1.0,0.842,8.9,6,5,5,4,0.778,65.3,268.0,0.75,0.5
VP-V020-202403,V020,Rajasthan Rare Earths Ltd,2024-03-01,2,improving,0.933,1.0,0.744,7.67,1,1,1,1,0.75,71.9,462.0,1.0,0.0
VP-V001-202404,V001,Kovacs Precision GmbH,2024-04-01,3,declining,0.901,1.0,0.914,9.07,4,4,4,4,0.846,70.3,302.0,1.0,0.0
VP-V002-202404,V002,Tanaka Electrical KK,2024-04-01,3,stable,1.037,1.0,0.802,9.22,6,4,4,4,0.826,74.2,216.0,1.0,0.0
VP-V003-202404,V003,Patel Alloys Pvt Ltd,2024-04-01,3,improving,0.967,0.831,0.85,7.57,0,0,0,0,0.5,70.2,347.0,,
VP-V004-202404,V004,Strömberg Hydraulics AB,2024-04-01,3,stable,1.06,1.0,0.956,8.97,4,4,4,4,0.923,67.6,250.0,0.75,1.0
VP-V005-202404,V005,Cerro Negro Metals SA,2024-04-01,3,stable,0.846,0.744,0.853,7.28,0,0,0,0,0.75,77.8,256.0,,
VP-V006-202404,V006,Bright Spark Electronics Ltd,2024-04-01,3,stable,0.96,0.5,0.682,7.25,6,4,4,4,0.739,79.0,432.0,0.75,1.5
VP-V007-202404,V007,Nakamura Tooling Co.,2024-04-01,3,stable,1.071,1.0,0.812,9.3,4,3,3,3,0.75,73.5,245.0,0.667,2.3
VP-V008-202404,V008,Delta Composites Inc.,2024-04-01,3,stable,0.891,0.8,0.827,7.64,0,0,0,0,1.0,83.7,474.0,,
VP-V009-202404,V009,Fischer & Söhne KG,2024-04-01,3,stable,1.018,1.0,0.925,8.71,4,4,4,4,0.846,60.7,204.0,0.75,0.8
VP-V010-202404,V010,Adriatic Fastenings d.o.o.,2024-04-01,3,stable,0.862,1.0,0.874,7.9,4,3,3,1,0.385,89.0,293.0,0.0,1.0
VP-V011-202404,V011,Solaris Power Components,2024-04-01,3,stable,1.019,1.0,0.709,7.07,6,1,1,1,0.522,88.7,371.0,0.0,3.0
VP-V012-202404,V012,Indra Copper Works,2024-04-01,3,improving,0.927,0.872,0.811,8.22,0,0,0,0,0.75,65.9,458.0,,
VP-V013-202404,V013,Vantage Sensors GmbH,2024-04-01,3,stable,0.974,1.0,0.852,8.9,6,6,6,6,0.826,75.6,259.0,0.667,0.8
VP-V014-202404,V014,Coastal Alloys Pty Ltd,2024-04-01,3,stable,0.962,0.856,0.781,8.2,0,0,0,0,0.25,75.1,476.0,,
VP-V015-202404,V015,Nordic Steel AS,2024-04-01,3,stable,0.992,0.866,0.903,9.29,0,0,0,0,0.75,71.1,198.0,,
VP-V016-202404,V016,Precision Arc Systems,2024-04-01,3,stable,0.909,0.333,0.696,6.68,6,3,3,3,0.565,87.5,409.0,0.667,1.0
VP-V017-202404,V017,Türk Makina A.Ş.,2024-04-01,3,stable,0.851,1.0,0.794,7.47,4,4,4,4,0.692,83.6,184.0,1.0,0.0
VP-V018-202404,V018,Guangzhou Mech & Elec Co.,2024-04-01,3,collapse,0.771,0.833,0.79,6.5,6,6,6,6,0.957,96.4,204.0,1.0,0.0
VP-V019-202404,V019,Emerald Isle Castings Ltd,2024-04-01,3,stable,1.02,0.876,0.817,8.63,4,3,3,0,0.538,63.2,183.0,,
VP-V020-202404,V020,Rajasthan Rare Earths Ltd,2024-04-01,3,improving,0.963,0.831,0.795,7.62,0,0,0,0,0.75,72.0,454.0,,
VP-V001-202405,V001,Kovacs Precision GmbH,2024-05-01,4,declining,0.876,1.0,0.939,9.04,7,7,7,7,0.9,69.7,434.0,0.714,0.4
VP-V002-202405,V002,Tanaka Electrical KK,2024-05-01,4,stable,1.048,1.0,0.805,8.91,3,3,3,3,0.846,73.9,203.0,1.0,0.0
VP-V003-202405,V003,Patel Alloys Pvt Ltd,2024-05-01,4,improving,0.965,0.823,0.798,7.51,0,0,0,0,0.5,67.5,183.0,,
VP-V004-202405,V004,Strömberg Hydraulics AB,2024-05-01,4,stable,1.069,0.857,0.902,9.4,7,7,7,7,0.95,67.0,298.0,0.571,1.4
VP-V005-202405,V005,Cerro Negro Metals SA,2024-05-01,4,stable,0.839,0.834,0.851,7.9,0,0,0,0,0.75,84.6,355.0,,
VP-V006-202405,V006,Bright Spark Electronics Ltd,2024-05-01,4,stable,0.977,0.5,0.731,6.87,3,2,2,2,0.731,79.1,303.0,1.0,0.0
VP-V007-202405,V007,Nakamura Tooling Co.,2024-05-01,4,stable,1.061,1.0,0.81,9.16,7,4,4,2,0.579,73.6,121.0,1.0,0.0
VP-V008-202405,V008,Delta Composites Inc.,2024-05-01,4,stable,0.872,0.853,0.841,7.71,0,0,0,0,1.0,83.0,391.0,,
VP-V009-202405,V009,Fischer & Söhne KG,2024-05-01,4,stable,1.008,1.0,0.888,9.39,6,5,5,4,0.789,67.2,159.0,0.75,1.0
VP-V010-202405,V010,Adriatic Fastenings d.o.o.,2024-05-01,4,stable,0.869,0.75,0.879,7.33,7,5,5,4,0.45,78.1,374.0,1.0,0.0
VP-V011-202405,V011,Solaris Power Components,2024-05-01,4,stable,0.99,1.0,0.677,6.98,3,3,3,3,0.577,87.5,469.0,0.667,2.3
VP-V012-202405,V012,Indra Copper Works,2024-05-01,4,improving,0.935,0.898,0.809,7.49,0,0,0,0,0.75,59.4,415.0,,
VP-V013-202405,V013,Vantage Sensors GmbH,2024-05-01,4,stable,1.028,0.667,0.822,8.61,3,3,3,3,0.846,68.6,407.0,0.667,2.0
VP-V014-202405,V014,Coastal Alloys Pty Ltd,2024-05-01,4,stable,0.971,0.853,0.797,7.98,0,0,0,0,0.25,74.3,403.0,,
VP-V015-202405,V015,Nordic Steel AS,2024-05-01,4,stable,1.001,0.878,0.892,8.99,0,0,0,0,0.75,68.2,157.0,,
VP-V016-202405,V016,Precision Arc Systems,2024-05-01,4,stable,0.92,1.0,0.592,6.58,3,1,1,1,0.538,92.9,463.0,0.0,6.0
VP-V017-202405,V017,Türk Makina A.Ş.,2024-05-01,4,stable,0.866,1.0,0.79,7.56,8,7,7,5,0.667,78.3,339.0,1.0,0.0
VP-V018-202405,V018,Guangzhou Mech & Elec Co.,2024-05-01,4,collapse,0.804,0.75,0.776,6.32,3,1,1,0,0.846,80.7,376.0,,
VP-V019-202405,V019,Emerald Isle Castings Ltd,2024-05-01,4,stable,1.006,1.0,0.83,8.75,8,8,8,5,0.571,71.4,436.0,0.6,5.4
VP-V020-202405,V020,Rajasthan Rare Earths Ltd,2024-05-01,4,improving,0.921,0.86,0.807,7.9,0,0,0,0,0.75,70.1,458.0,,
VP-V021-202405,V021,Helios Micro Systems,2024-05-01,4,new_proving,0.973,1.0,0.727,7.83,3,2,2,2,0.077,66.9,181.0,1.0,0.0
VP-V022-202405,V022,Andean Precision SRL,2024-05-01,4,new_proving,0.85,0.5,0.685,7.01,6,5,5,2,0.143,73.2,387.0,0.5,2.5
VP-V023-202405,V023,Sahara Industrial FZE,2024-05-01,4,new_proving,0.883,0.733,0.712,6.84,0,0,0,0,0.0,83.5,308.0,,
VP-V024-202405,V024,BalticTech UAB,2024-05-01,4,new_proving,0.955,0.75,0.847,7.94,8,6,6,4,0.286,67.6,394.0,1.0,0.0
VP-V001-202406,V001,Kovacs Precision GmbH,2024-06-01,5,declining,0.921,0.667,0.904,9.18,3,3,3,3,0.913,74.6,194.0,1.0,0.0
VP-V002-202406,V002,Tanaka Electrical KK,2024-06-01,5,stable,1.013,1.0,0.857,9.14,5,3,3,3,0.806,73.5,334.0,0.333,6.7
VP-V003-202406,V003,Patel Alloys Pvt Ltd,2024-06-01,5,improving,0.98,0.5,0.755,7.8,2,2,2,2,0.667,65.5,277.0,1.0,0.0
VP-V004-202406,V004,Strömberg Hydraulics AB,2024-06-01,5,stable,1.043,1.0,0.832,9.39,3,3,3,3,0.957,64.2,239.0,1.0,0.0
VP-V005-202406,V005,Cerro Negro Metals SA,2024-06-01,5,stable,0.84,0.0,0.906,7.57,2,2,2,1,0.667,80.4,406.0,0.0,14.0
VP-V006-202406,V006,Bright Spark Electronics Ltd,2024-06-01,5,stable,0.958,0.667,0.704,7.35,5,4,4,3,0.71,82.3,348.0,0.667,1.3
VP-V007-202406,V007,Nakamura Tooling Co.,2024-06-01,5,stable,1.052,1.0,0.772,8.94,3,1,1,1,0.545,74.1,311.0,0.0,24.0
VP-V008-202406,V008,Delta Composites Inc.,2024-06-01,5,stable,0.882,0.0,0.813,7.85,2,2,2,2,1.0,82.7,97.0,1.0,0.0
VP-V009-202406,V009,Fischer & Söhne KG,2024-06-01,5,stable,1.017,1.0,0.848,9.11,3,2,2,2,0.773,68.1,296.0,0.5,3.0
VP-V010-202406,V010,Adriatic Fastenings d.o.o.,2024-06-01,5,stable,0.858,1.0,0.869,7.52,2,1,1,1,0.455,82.3,236.0,1.0,0.0
VP-V011-202406,V011,Solaris Power Components,2024-06-01,5,stable,0.989,0.75,0.69,6.56,5,4,4,4,0.613,89.8,574.0,0.75,0.5
VP-V012-202406,V012,Indra Copper Works,2024-06-01,5,improving,0.928,0.0,0.774,8.18,2,1,1,1,0.667,64.6,157.0,1.0,0.0
VP-V013-202406,V013,Vantage Sensors GmbH,2024-06-01,5,stable,1.008,1.0,0.839,8.74,5,4,4,4,0.839,68.5,284.0,0.75,0.5
VP-V014-202406,V014,Coastal Alloys Pty Ltd,2024-06-01,5,stable,0.946,1.0,0.792,7.83,2,2,2,2,0.5,74.2,406.0,1.0,0.0
VP-V015-202406,V015,Nordic Steel AS,2024-06-01,5,stable,0.999,1.0,0.865,8.93,2,2,2,2,0.833,66.1,228.0,1.0,0.0
VP-V016-202406,V016,Precision Arc Systems,2024-06-01,5,stable,0.944,0.5,0.642,6.62,5,4,4,4,0.581,88.5,378.0,1.0,0.0
VP-V017-202406,V017,Türk Makina A.Ş.,2024-06-01,5,stable,0.856,1.0,0.759,7.36,3,3,3,3,0.708,88.1,422.0,1.0,0.0
VP-V018-202406,V018,Guangzhou Mech & Elec Co.,2024-06-01,5,collapse,0.823,1.0,0.729,5.73,5,4,4,3,0.806,87.0,714.0,1.0,0.0
VP-V019-202406,V019,Emerald Isle Castings Ltd,2024-06-01,5,stable,1.027,1.0,0.829,8.34,3,3,3,1,0.542,66.8,325.0,1.0,0.0
VP-V020-202406,V020,Rajasthan Rare Earths Ltd,2024-06-01,5,improving,0.938,0.801,0.727,7.46,2,2,2,0,0.5,71.0,430.0,,
VP-V021-202406,V021,Helios Micro Systems,2024-06-01,5,new_proving,0.99,1.0,0.75,8.31,5,4,4,3,0.161,62.9,332.0,0.667,0.3
VP-V022-202406,V022,Andean Precision SRL,2024-06-01,5,new_proving,0.843,0.796,0.717,6.9,2,2,2,0,0.125,84.8,416.0,,
VP-V023-202406,V023,Sahara Industrial FZE,2024-06-01,5,new_proving,0.89,0.744,0.76,6.7,2,1,1,0,0.0,78.4,489.0,,
VP-V024-202406,V024,BalticTech UAB,2024-06-01,5,new_proving,0.965,1.0,0.839,8.05,2,1,1,1,0.312,62.7,253.0,1.0,0.0
VP-V001-202407,V001,Kovacs Precision GmbH,2024-07-01,6,declining,0.93,1.0,0.924,9.3,2,2,2,2,0.917,75.1,288.0,0.5,2.0
VP-V002-202407,V002,Tanaka Electrical KK,2024-07-01,6,stable,1.054,1.0,0.837,9.01,6,3,3,3,0.724,72.2,177.0,0.667,1.7
VP-V003-202407,V003,Patel Alloys Pvt Ltd,2024-07-01,6,improving,0.946,1.0,0.703,8.05,1,1,1,1,0.667,63.4,17.0,1.0,0.0
VP-V004-202407,V004,Strömberg Hydraulics AB,2024-07-01,6,stable,1.04,0.5,0.922,9.2,2,2,2,2,0.958,71.6,165.0,0.5,2.0
VP-V005-202407,V005,Cerro Negro Metals SA,2024-07-01,6,stable,0.853,1.0,0.851,7.5,1,1,1,1,0.667,75.2,251.0,1.0,0.0
VP-V006-202407,V006,Bright Spark Electronics Ltd,2024-07-01,6,stable,0.96,0.8,0.722,7.21,6,5,5,5,0.69,88.2,406.0,0.6,2.2
VP-V007-202407,V007,Nakamura Tooling Co.,2024-07-01,6,stable,1.043,0.849,0.811,8.91,2,1,1,0,0.478,71.8,199.0,,
VP-V008-202407,V008,Delta Composites Inc.,2024-07-01,6,stable,0.863,0.0,0.758,7.64,1,1,1,1,1.0,86.4,565.0,1.0,0.0
VP-V009-202407,V009,Fischer & Söhne KG,2024-07-01,6,stable,1.004,1.0,0.784,8.84,2,2,2,2,0.783,66.8,334.0,1.0,0.0
VP-V010-202407,V010,Adriatic Fastenings d.o.o.,2024-07-01,6,stable,0.879,0.5,0.847,7.42,2,2,2,2,0.522,93.2,526.0,1.0,0.0
VP-V011-202407,V011,Solaris Power Components,2024-07-01,6,stable,0.984,1.0,0.668,6.71,6,3,3,3,0.586,84.2,443.0,0.667,1.7
VP-V012-202407,V012,Indra Copper Works,2024-07-01,6,improving,0.929,0.845,0.797,8.27,1,0,0,0,0.5,62.2,421.0,,
VP-V013-202407,V013,Vantage Sensors GmbH,2024-07-01,6,stable,0.987,1.0,0.829,8.73,6,5,5,5,0.897,71.1,294.0,1.0,0.0
VP-V014-202407,V014,Coastal Alloys Pty Ltd,2024-07-01,6,stable,0.957,1.0,0.779,7.89,1,1,1,1,0.667,72.4,265.0,1.0,0.0
VP-V015-202407,V015,Nordic Steel AS,2024-07-01,6,stable,1.009,1.0,0.895,8.87,1,1,1,1,0.833,69.1,216.0,1.0,0.0
VP-V016-202407,V016,Precision Arc Systems,2024-07-01,6,stable,0.927,1.0,0.669,6.65,6,5,5,5,0.621,90.9,341.0,0.6,1.4
VP-V017-202407,V017,Türk Makina A.Ş.,2024-07-01,6,stable,0.866,1.0,0.845,7.41,2,1,1,1,0.72,87.9,405.0,1.0,0.0
VP-V018-202407,V018,Guangzhou Mech & Elec Co.,2024-07-01,6,collapse,0.848,1.0,0.68,6.51,6,3,3,2,0.655,91.8,453.0,0.5,1.5
VP-V019-202407,V019,Emerald Isle Castings Ltd,2024-07-01,6,stable,1.006,0.0,0.848,8.68,1,1,1,1,0.542,72.2,208.0,1.0,0.0
VP-V020-202407,V020,Rajasthan Rare Earths Ltd,2024-07-01,6,improving,0.912,0.832,0.728,7.95,1,1,1,0,0.5,71.3,313.0,,
VP-V021-202407,V021,Helios Micro Systems,2024-07-01,6,new_proving,0.979,0.8,0.83,8.36,6,5,5,5,0.345,61.0,364.0,1.0,0.0
VP-V022-202407,V022,Andean Precision SRL,2024-07-01,6,new_proving,0.862,0.814,0.762,6.91,1,1,1,0,0.125,79.4,494.0,,
VP-V023-202407,V023,Sahara Industrial FZE,2024-07-01,6,new_proving,0.898,0.754,0.669,6.85,1,1,1,0,0.0,86.4,388.0,,
VP-V024-202407,V024,BalticTech UAB,2024-07-01,6,new_proving,0.963,0.883,0.812,7.73,2,2,2,0,0.278,65.9,403.0,,
VP-V001-202408,V001,Kovacs Precision GmbH,2024-08-01,7,declining,0.912,1.0,0.89,9.17,3,3,3,3,0.92,74.0,398.0,1.0,0.0
VP-V002-202408,V002,Tanaka Electrical KK,2024-08-01,7,stable,1.038,0.833,0.829,9.16,6,6,6,6,0.759,72.0,146.0,0.667,3.5
VP-V003-202408,V003,Patel Alloys Pvt Ltd,2024-08-01,7,improving,0.961,1.0,0.803,7.88,2,2,2,1,0.667,71.7,400.0,1.0,0.0
VP-V004-202408,V004,Strömberg Hydraulics AB,2024-08-01,7,stable,1.065,1.0,0.856,9.32,1,1,1,1,0.957,69.8,160.0,1.0,0.0
VP-V005-202408,V005,Cerro Negro Metals SA,2024-08-01,7,stable,0.859,0.5,0.866,7.66,2,2,2,2,0.833,84.9,139.0,1.0,0.0
VP-V006-202408,V006,Bright Spark Electronics Ltd,2024-08-01,7,stable,0.977,0.4,0.72,6.94,6,5,5,5,0.724,80.8,450.0,0.8,1.4
VP-V007-202408,V007,Nakamura Tooling Co.,2024-08-01,7,stable,1.043,1.0,0.822,9.47,3,3,3,2,0.458,77.8,248.0,1.0,0.0
VP-V008-202408,V008,Delta Composites Inc.,2024-08-01,7,stable,0.86,1.0,0.796,7.42,2,2,2,1,0.833,89.4,401.0,1.0,0.0
VP-V009-202408,V009,Fischer & Söhne KG,2024-08-01,7,stable,1.006,1.0,0.921,8.87,3,3,3,2,0.833,68.4,235.0,1.0,0.0
VP-V010-202408,V010,Adriatic Fastenings d.o.o.,2024-08-01,7,stable,0.876,1.0,0.806,7.55,2,1,1,1,0.522,85.0,314.0,1.0,0.0
VP-V011-202408,V011,Solaris Power Components,2024-08-01,7,stable,0.999,1.0,0.694,7.03,6,3,3,3,0.552,85.0,296.0,1.0,0.0
VP-V012-202408,V012,Indra Copper Works,2024-08-01,7,improving,0.937,0.5,0.818,8.16,2,2,2,2,0.5,64.8,400.0,1.0,0.0
VP-V013-202408,V013,Vantage Sensors GmbH,2024-08-01,7,stable,1.003,1.0,0.854,8.77,6,6,6,6,0.931,75.7,221.0,0.667,1.3
VP-V014-202408,V014,Coastal Alloys Pty Ltd,2024-08-01,7,stable,0.974,1.0,0.759,7.96,2,1,1,1,0.667,75.5,284.0,1.0,0.0
VP-V015-202408,V015,Nordic Steel AS,2024-08-01,7,stable,1.005,0.5,0.872,8.99,2,2,2,2,1.0,65.4,360.0,1.0,0.0
VP-V016-202408,V016,Precision Arc Systems,2024-08-01,7,stable,0.906,1.0,0.661,6.58,6,4,4,3,0.621,96.4,370.0,1.0,0.0
VP-V017-202408,V017,Türk Makina A.Ş.,2024-08-01,7,stable,0.868,0.667,0.834,7.51,3,3,3,3,0.808,82.8,240.0,1.0,0.0
VP-V018-202408,V018,Guangzhou Mech & Elec Co.,2024-08-01,7,collapse,0.86,0.5,0.721,5.81,6,3,3,2,0.552,83.5,522.0,1.0,0.0
VP-V019-202408,V019,Emerald Isle Castings Ltd,2024-08-01,7,stable,1.009,1.0,0.871,8.72,3,2,2,1,0.48,64.4,294.0,0.0,4.0
